source	relative_path	decision	action	target	title	reason	char_count
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-5-Build-2.md	无需更新	none			本批次优先正式版更新日志	3344
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-5-Build-3.md	无需更新	none			本批次优先正式版更新日志	896
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-6.md	无需更新	none			本批次优先正式版更新日志	1253
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-build-1.md	无需更新	none			本批次优先正式版更新日志	6073
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-build-2.md	无需更新	none			本批次优先正式版更新日志	14773
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-build-3.md	无需更新	none			本批次优先正式版更新日志	14681
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-build-4.md	无需更新	none			本批次优先正式版更新日志	3338
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-build-5.md	无需更新	none			本批次优先正式版更新日志	948
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-build-6.md	无需更新	none			本批次优先正式版更新日志	660
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-1-1-Build-1.md	无需更新	none			本批次优先正式版更新日志	754
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-1-1-Build-2.md	无需更新	none			本批次优先正式版更新日志	421
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-1-3-Build-1.md	无需更新	none			本批次优先正式版更新日志	669
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-1-3-Build-2.md	无需更新	none			本批次优先正式版更新日志	424
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-1-Build-1.md	无需更新	none			本批次优先正式版更新日志	11692
